"03/06/08","C0001","SI160442","0027455-0003","Earring with hook bl. topaz t!","6","PAIR","83.2","499.2","750","WG","3.3","VOLUME","H&S2000/3","01692-DP007711333115","EB038445","0082167-0004","SOR040192","10000","3.19","211000425630","3.187","09/05/08","CLASSIC","3.187","0.0199271066438966261"
"03/06/08","C0001","SI160421","0030750-0004","Earring Creole","1","PAIR","138.6","138.6","585","YG","8.75","VOLUME","CL 2002-2","04040-EP000521333091","EB038440","0085319-0003","SOR040178","10000","7.36","211000425585","7.36244","08/05/08","CLASSIC","7.36244","0.0199849313617532381"
"03/06/08","C0001","SI160428","0031444-0004","Bracelet","2","PCS","354.1","708.2","750","YG/WG","17.15","VOLUME","CL 2003-1","04999-OP000741333100","EB038349","0085729-0005","SOR040091","40000","16.65","211000424829","16.6458","29/04/08","CLASSIC","16.6458","0.0199849313617532381"
"03/06/08","C0001","SI160446","0032480-0010","Earring Creole","3","PAIR","156.7","470.1","585","WG","0","VOLUME","CL 2003-3","06147-EX000511333091","EB038471/Sensitive","0086861-0007","SOR040229","180000","6.62","211000425903","6.6196","14/05/08","CLASSIC","6.6196","0.0199271066438966261"
"03/06/08","C0001","SI160446","0032481-0009","Pendant","4","PCS","101.8","407.2","585","WG","0","VOLUME","CL 2003-3","06148-GX000511333000","EB038471/Sensitive","0086862-0008","SOR040229","220000","3.63","211000425905","3.63428","14/05/08","CLASSIC","3.63428","0.0199271066438966261"
"03/06/08","C0001","SI160446","0032482-0009","Ring ladies","1","PCS","134.1","134.1","585","WG","0","VOLUME","CL 2003-3","06149-LX000511333000","EB038471/Sensitive","0086863-0008","SOR040229","110000","6.35","211000425897","6.3495","14/05/08","CLASSIC","6.3495","0.0199271066438966261"
"03/06/08","C0001","SI160446","0032482-0009","Ring ladies","1","PCS","143","143","585","WG","0","VOLUME","CL 2003-3","06149-LX000511333000","EB038471/Sensitive","0086863-0008","SOR040229","120000","7.11","211000425898","7.1095","14/05/08","CLASSIC","7.1095","0.0199271066438966261"
"03/06/08","C0001","SI160446","0032482-0009","Ring ladies","1","PCS","147.5","147.5","585","WG","0","VOLUME","CL 2003-3","06149-LX000511333000","EB038471/Sensitive","0086863-0008","SOR040229","130000","7.5","211000425899","7.4995","14/05/08","CLASSIC","7.4995","0.0199271066438966261"
"03/06/08","C0001","SI160446","0032482-0009","Ring ladies","2","PCS","141.7","283.4","585","WG","0","VOLUME","CL 2003-3","06149-LX000511333000","EB038471/Sensitive","0086863-0008","SOR040229","150000","7","211000425901","6.9995","14/05/08","CLASSIC","6.9995","0.0199271066438966261"
"03/06/08","C0001","SI160439","0032720-0008","Ring ladies","-2","PCS","0","0","585","WG","0","VOLUME","SOL2003-1","06361-LP000517000000","VLS147791","0086975-0013","REP009009","10000","3.88","","3.88","27/05/08","SOLITAIRE","0","0.0199271066438966261"
"03/06/08","C0001","SI160439","0032720-0008","Ring ladies","2","PCS","0","0","585","WG","0","VOLUME","SOL2003-1","06361-LP000517000000","VLS147791","0086975-0013","REP009009","20000","3.68","","3.675","27/05/08","SOLITAIRE","3.675","0.0199271066438966261"
"03/06/08","C0001","SI160426","0032727-0005","stud earring","2","PAIR","355.5","711","750","WG","0","VOLUME","SOL2003-1","06368-CP000711333031","EB038381","0086966-0004","SOR040119","10000","1.26","211000425155","1.26","02/05/08","SOLITAIRE","1.26","0.0199849313617532381"
"03/06/08","C0001","SI160426","0032733-0005","Earring Creole","3","PAIR","200.6","601.8","750","WG","0","VOLUME","SOL2003-1","06381-EP000711333091","EB038381","0086981-0004","SOR040119","70000","6.12","211000425161","6.11566666666666666","02/05/08","SOLITAIRE","6.11566666666666666","0.0199849313617532381"
"03/06/08","C0001","SI160426","0032733-0009","Earring Creole","2","PAIR","201","402","750","YG","0","VOLUME","SOL2003-1","06381-EP000727333091","EB038381","0086981-0005","SOR040119","60000","6.16","211000425160","6.164","02/05/08","SOLITAIRE","6.164","0.0199849313617532381"
"03/06/08","C0001","SI160426","0033010-0015","Clip pendant","2","PCS","160.7","321.4","750","WG","0","VOLUME","SOL2003-1","06320-IP000711333041","EB038381","0086429-0031","SOR040119","50000","1.8","211000425159","1.8","02/05/08","SOLITAIRE","1.8","0.0199849313617532381"
"03/06/08","C0001","SI160426","0033021-0005","stud earring","2","PAIR","355.8","711.6","750","YG","0","VOLUME","SOL2003-1","06331-CP000727333031","EB038381","0086444-0007","SOR040119","30000","1.29","211000425157","1.285","02/05/08","SOLITAIRE","1.285","0.0199849313617532381"
"03/06/08","C0001","SI160426","0033021-0010","stud earring","2","PAIR","355","710","750","WG","0","VOLUME","SOL2003-1","06331-CP000711333031","EB038381","0086444-0006","SOR040119","20000","1.23","211000425156","1.225","02/05/08","SOLITAIRE","1.225","0.0199849313617532381"
"03/06/08","C0001","SI160426","0033023-0010","Pendant","2","PCS","648.2","1,296.4","750","WG","0","VOLUME","SOL2003-1","06333-GP000711333041","EB038381","0086438-0020","SOR040119","40000","0.99","211000425158","0.985","02/05/08","SOLITAIRE","0.985","0.0199849313617532381"
"03/06/08","C0001","SI160428","0033117-0003","Bracelet","2","PCS","316.4","632.8","750","YG/WG","0","VOLUME","CL 2004-1","06881-OP000741333100","EB038349","0087155-0004","SOR040091","10000","16.98","211000424826","16.9754","29/04/08","CLASSIC","16.9754","0.0199849313617532381"
"03/06/08","C0001","SI160428","0033121-0003","Bracelet","2","PCS","310.2","620.4","750","YG/WG","0","VOLUME","CL 2004-1","06885-OP000741333100","EB038349","0087159-0004","SOR040091","30000","15.64","211000424828","15.6353","29/04/08","CLASSIC","15.6353","0.0199849313617532381"
"03/06/08","C0001","SI160416","0033216-0006","Ring ladies ruby","1","PCS","113","113","750","YG/WG","0","VOLUME","CL 2004-2","06994-LP001741333000","EB038476/Sensitive","0087341-0013","SOR040234","10000","5.11","211000425916","5.1074","14/05/08","CLASSIC","5.1074","0.0199849313617532381"
"03/06/08","C0001","SI160438","0033231-0002","Ring ladies citrine","-1","PCS","0","0","585","YG/WG","0","VOLUME","CL 2004-2","07009-LP008541433000","VLS147783","0087477-0002","REP009007","30000","8.42","","8.42","27/05/08","CLASSIC","0","0.0199271066438966261"
"03/06/08","C0001","SI160438","0033231-0002","Ring ladies citrine","1","PCS","0","0","585","YG/WG","0","VOLUME","CL 2004-2","07009-LP008541433000","VLS147783","0087477-0002","REP009007","40000","7.58","","7.5836","27/05/08","CLASSIC","7.5836","0.0199271066438966261"
"03/06/08","C0001","SI160428","0035279-0003","Bracelet","2","PCS","286.4","572.8","750","YG/WG","0","VOLUME","CL 2005-1","08599-OP000741333100","EB038349","0088642-0004","SOR040091","20000","13.29","211000424827","13.285","29/04/08","CLASSIC","13.285","0.0199849313617532381"
"03/06/08","C0010","SI160445","0035682-0004","Ring ladies bl. topaz treat.","1","PCS","235.3","235.3","750","WG","0","CUSTOM","GLA2005-2","09038-LP007711933000","EB003092/Sample","0088983-0004","SOR040387","40000","9.4","241000024593","9.3988","30/05/08","LAUDIER","9.3988","0.0199271066438966261"
"03/06/08","C0010","SI160450","0036304-0002","Ring ladies","1","PCS","436.3","436.3","750","WG","0","CUSTOM","GLA2005-3","09371-LP000711953000","EB003019","0089166-0002","SOR039997","40000","7.75","241000024009","7.7521","18/04/08","LAUDIER","7.7521","0.0199271066438966261"
"03/06/08","C0001","SI160423","0036412-0006","Earring Creole","3","PAIR","112.3","336.9","585","YG/WG/RG","0","VOLUME","CL 2005-3","09476-EP000551333091","EB038438/Sensitive","0089358-0003","SOR040177","120000","5.82","211000425582","5.82473333333333334","08/05/08","CLASSIC","5.82473333333333334","0.0199849313617532381"
"03/06/08","C0001","SI160423","0036413-0008","Pendant","4","PCS","74.4","297.6","585","YG/WG/RG","0","VOLUME","CL 2005-3","09477-GP000551333000","EB038438/Sensitive","0089359-0003","SOR040177","130000","3.48","211000425583","3.47964","08/05/08","CLASSIC","3.47964","0.0199849313617532381"
"03/06/08","C0001","SI160423","0036414-0007","Ring ladies","1","PCS","98.1","98.1","585","YG/WG/RG","0","VOLUME","CL 2005-3","09478-LP000551333000","EB038438/Sensitive","0089360-0003","SOR040177","70000","5.51","211000425578","5.51464","08/05/08","CLASSIC","5.51464","0.0199849313617532381"
"03/06/08","C0001","SI160423","0036414-0007","Ring ladies","1","PCS","104.4","104.4","585","YG/WG/RG","0","VOLUME","CL 2005-3","09478-LP000551333000","EB038438/Sensitive","0089360-0003","SOR040177","80000","6.05","211000425579","6.05464","08/05/08","CLASSIC","6.05464","0.0199849313617532381"
"03/06/08","C0001","SI160423","0036414-0007","Ring ladies","1","PCS","100.2","100.2","585","YG/WG/RG","0","VOLUME","CL 2005-3","09478-LP000551333000","EB038438/Sensitive","0089360-0003","SOR040177","90000","5.69","211000425580","5.69464","08/05/08","CLASSIC","5.69464","0.0199849313617532381"
"03/06/08","C0001","SI160423","0036414-0007","Ring ladies","1","PCS","100.7","100.7","585","YG/WG/RG","0","VOLUME","CL 2005-3","09478-LP000551333000","EB038438/Sensitive","0089360-0003","SOR040177","100000","5.74","211000425581","5.74464","08/05/08","CLASSIC","5.74464","0.0199849313617532381"
